Nombre,Ingredientes,Categoria
Flan de vainilla,Huevos-Leche-Azucar,Postre
Ensalada de pollo,Pollo-Lechuga-Tomate,Almuerzo
Milanesas de soja,Soja texturizada-Pan rallado-Huevos,Almuerzo
Pollo a la mostaza,Pollo-Aderezo-Crema,Almuerzo
Tarta de cebolla,Masa-Cebolla-Queso,Almuerzo
Fideos con tuco,Pasta-Salsa-Carne,Almuerzo
Guiso de mondongo,Mondongo-Verduras-Tomate,Almuerzo
Tiramisu de limon,Limon-Mascarpone-Vainillas,Postre
Empanadas de queso,Queso-Cebolla-Masa,Almuerzo
Estofado de cerdo,Cerdo-Verduras-Vino tinto,Almuerzo
Torta de coco,Coco rallado-Harina-Huevos-Azucar,Postre
Pizza de choclo,Masa-Choclo-Queso,Almuerzo
Sopa de pollo,Pollo-Verduras-Pasta,Almuerzo
Arroz con vegetales,Arroz-Verduras-Salsa,Almuerzo
Flan de batata,Huevos-Leche-Batata-Azucar,Postre
Ñoquis de remolacha,Remolacha-Harina-Salsa,Almuerzo
Ensalada de lentejas,Lentejas-Verduras-Aceite de oliva,Almuerzo
Bife a caballo,Carne-Huevos fritos-Papas fritas,Almuerzo
Budin de banana,Bananas-Harina-Huevos-Azucar,Postre
Canelones de espinaca y ricota,Masa-Espinaca-Ricota,Almuerzo
Empanadas de humita y queso,Choclo-Queso-Masa,Almuerzo
Estofado vegetariano,Verduras-Legumbres-Caldo,Almuerzo
Torta invertida de manzana,Manzanas-Harina-Huevos-Azucar,Postre
Pizza de jamon y morrones,Masa-Jamon-Morrones,Almuerzo
Sopa de lentejas,Lentejas-Verduras-Caldo,Almuerzo
Paella vegetariana,Arroz-Verduras-Azafran,Almuerzo
Flan de dulce de batata,Huevos-Leche-Dulce de batata,Postre
Empanadas de carne picante,Carne-Especias-Masa,Almuerzo
Ñoquis de espinaca y ricota,Espinaca-Ricota-Harina,Almuerzo
Tarta de puerro,Masa-Puerro-Crema,Almuerzo
Pollo al champignon,Pollo-Champiñones-Crema,Almuerzo
Omelette de espinaca,Huevos-Espinaca-Manteca,Desayuno
Ensalada de garbanzos,Garbanzos-Verduras-Limon,Almuerzo
Brochettes de carne,Carne-Verduras-Especias,Almuerzo
Pizza de palmitos,Masa-Palmitos-Salsa,Almuerzo
Pan integral,Harina-Levadura-Agua,Desayuno
Flan de queso y dulce,Huevos-Leche-Queso-Dulce,Postre
Ensalada de arroz,Arroz-Verduras-Aderezo,Almuerzo
Milanesas de pescado,Pescado-Pan rallado-Huevos,Almuerzo
Pollo a la parmesana,Pollo-Tomate-Queso,Almuerzo
Tarta de choclo,Masa-Choclo-Cebolla,Almuerzo
Fideos con salsa rosa,Pasta-Tomate-Crema,Almuerzo
Guiso de fideos,Pasta-Carne-Verduras,Almuerzo
Tiramisu de chocolate,Chocolate-Mascarpone-Vainillas,Postre
Empanadas de cebolla y queso,Cebolla-Queso-Masa,Almuerzo
Estofado de ternera,Ternera-Verduras-Vino tinto,Almuerzo
Torta de zanahoria,Zanahoria-Harina-Huevos-Azucar,Postre
Pizza hawaiana,Masa-Jamon-Anana,Almuerzo
Sopa de zapallo,Zapallo-Caldo-Crema,Almuerzo
Arroz con leche condensada,Arroz-Leche condensada-Canela,Postre
Flan de yogur,Huevos-Yogur-Azucar,Postre
Ñoquis de pan,Pan rallado-Harina-Salsa,Almuerzo
Ensalada de porotos,Porotos-Verduras-Aceite,Almuerzo
Bife a la plancha,Carne-Sal-Pimienta,Almuerzo
Budin marmolado,Harina-Cacao-Huevos-Azucar,Postre
Canelones de verdura y pollo,Masa-Espinaca-Pollo,Almuerzo
Empanadas de carne y pasas,Carne-Pasas de uva-Masa,Almuerzo
Estofado de pescado,Pescado-Verduras-Vino blanco,Almuerzo
Torta de vainilla y chocolate,Harina-Cacao-Huevos-Azucar,Postre
Pizza de vegetales,Masa-Verduras-Queso,Almuerzo
Sopa de pescado,Pescado-Verduras-Caldo,Almuerzo
Paella de pollo,Arroz-Pollo-Azafran,Almuerzo
Flan de calabaza,Huevos-Leche-Calabaza-Azucar,Postre
Empanadas de queso y tomate,Queso-Tomate-Masa,Almuerzo
Ñoquis de zanahoria,Zanahoria-Harina-Salsa,Almuerzo
Tarta de espinaca y queso,Masa-Espinaca-Queso,Almuerzo
Churrasco con papas fritas,Carne-Papas-Aceite,Almuerzo
Omelette de queso y tomate,Huevos-Queso-Tomate,Desayuno
Ensalada de pasta,Pasta-Verduras-Aderezo,Almuerzo
Brochettes de cerdo,Cerdo-Verduras-Especias,Almuerzo
Pizza de champiñones,Masa-Champiñones-Queso,Almuerzo
Pan de queso,Harina-Queso-Leche,Desayuno
Flan de almendras,Huevos-Leche-Almendras-Azucar,Postre
Ensalada de atun,Atun-Lechuga-Tomate,Almuerzo
Milanesas a la napolitana,Carne-Tomate-Queso,Almuerzo
Pollo al limon,Pollo-Limon-Hierbas,Almuerzo
Tarta de calabaza,Masa-Calabaza-Cebolla,Almuerzo
Fideos con albondigas,Pasta-Albondigas-Salsa,Almuerzo
Guiso de garbanzos,Garbanzos-Carne-Verduras,Almuerzo
Tiramisu de cafe,Cafe-Mascarpone-Vainillas,Postre
Empanadas de hongos,Hongos-Cebolla-Masa,Almuerzo
Estofado de vegetales,Verduras-Legumbres-Caldo,Almuerzo
Torta de frutilla,Frutillas-Harina-Huevos-Azucar,Postre
Pizza de queso azul,Masa-Queso-Nueces,Almuerzo
Sopa de tomate,Tomate-Caldo-Crema,Almuerzo
Arroz chaufa,Arroz-Pollo-Verduras,Almuerzo
Flan de vainilla y coco,Huevos-Leche-Coco rallado,Postre
Ñoquis de queso,Queso-Harina-Salsa,Almuerzo
Ensalada de habas,Habas-Verduras-Aceite,Almuerzo
Bife de chorizo,Carne-Sal-Pimienta,Almuerzo
Budin de peras,Peras-Harina-Huevos-Azucar,Postre
Canelones de choclo,Masa-Choclo-Salsa,Almuerzo
Empanadas de espinaca y queso,Espinaca-Queso-Masa,Almuerzo
Estofado de mariscos,Mariscos-Verduras-Vino blanco,Almuerzo
Torta de ciruela,Ciruelas-Harina-Huevos-Azucar,Postre
Pizza de salmon,Masa-Salmon-Queso,Almuerzo
Sopa de miso,Miso-Tofu-Algas,Almuerzo
Paella negra,Arroz-Calamares-Tinta de calamar,Almuerzo
Flan de dulce de leche y coco,Huevos-Leche-Dulce de leche-Coco rallado,Postre
